Agency Type,Distribution Channel,Net Sales
Airlines,Online,0.07
Airlines,Online,0.07
Airlines,Online,0.07
Airlines,Offline,0.07
Airlines,Online,0.13
Airlines,Online,0.19
Airlines,Online,0.19
Airlines,Online,0.19
Airlines,Online,0.19
Airlines,Online,0.19
Airlines,Online,0.19
Airlines,Online,0.19
Airlines,Online,0.19
Airlines,Online,0.19
Airlines,Online,0.19
Airlines,Online,0.19
Airlines,Online,0.19
Airlines,Online,0.19
Airlines,Online,0.19
Airlines,Online,0.32
Airlines,Online,0.32
Airlines,Online,0.32
Airlines,Online,0.32
Airlines,Online,0.32
Airlines,Online,0.32
Airlines,Online,0.32
Airlines,Online,0.32
Airlines,Online,0.32
Airlines,Online,0.32
Airlines,Online,0.32
Airlines,Online,0.32
Airlines,Online,0.32
Airlines,Online,0.39
Airlines,Online,0.45
Airlines,Online,0.45
Airlines,Online,0.45
Airlines,Online,0.48
Airlines,Online,0.51
Airlines,Online,0.51
Airlines,Online,0.51
Airlines,Online,0.55
Airlines,Online,0.58
Airlines,Online,0.58
Airlines,Online,0.58
Airlines,Online,0.58
Airlines,Online,0.58
Airlines,Online,0.64
Airlines,Online,0.64
Airlines,Online,0.71
Airlines,Online,0.71
Airlines,Online,0.71
Airlines,Online,0.71
Airlines,Online,0.71
Airlines,Online,0.71
Airlines,Online,0.71
Airlines,Online,0.71
Airlines,Online,0.71
Airlines,Online,0.71
Airlines,Online,0.71
Airlines,Online,0.71
Airlines,Online,0.71
Airlines,Online,0.71
Airlines,Online,0.71
Airlines,Online,0.71
Airlines,Online,0.71
Airlines,Online,0.71
Airlines,Online,0.74
Airlines,Online,0.74
Airlines,Online,0.74
Airlines,Online,0.74
Airlines,Online,0.74
Airlines,Online,0.74
Airlines,Online,0.74
Airlines,Online,0.76
Airlines,Online,0.77
Airlines,Online,0.77
Airlines,Online,0.77
Airlines,Online,0.77
Airlines,Online,0.77
Airlines,Online,0.77
Airlines,Online,0.77
Airlines,Online,0.77
Airlines,Online,0.77
Airlines,Online,0.77
Airlines,Online,0.77
Airlines,Online,0.77
Airlines,Online,0.77
Airlines,Online,0.77
Airlines,Online,0.77
Airlines,Online,0.77
Airlines,Online,0.77
Airlines,Online,0.77
Airlines,Online,0.77
Airlines,Online,0.77
