Id,Id2,Geography,PopGroupID,POPGROUP.display-label,RacesReported,HSDegree,BachDegree
0500000US01073,1073,"Jefferson County, Alabama",1,Total population,660793,89.1,30.5
0500000US04013,4013,"Maricopa County, Arizona",1,Total population,4087191,86.8,30.2
0500000US04019,4019,"Pima County, Arizona",1,Total population,1004516,88,30.8
0500000US06001,6001,"Alameda County, California",1,Total population,1610921,86.9,42.8
0500000US06013,6013,"Contra Costa County, California",1,Total population,1111339,88.8,39.7
0500000US06019,6019,"Fresno County, California",1,Total population,965974,73.6,19.7
0500000US06029,6029,"Kern County, California",1,Total population,874589,74.5,15.4
0500000US06037,6037,"Los Angeles County, California",1,Total population,10116705,77.5,30.3
0500000US06059,6059,"Orange County, California",1,Total population,3145515,84.6,38
0500000US06065,6065,"Riverside County, California",1,Total population,2329271,80.6,20.7
0500000US06067,6067,"Sacramento County, California",1,Total population,1482026,86.8,28.9
0500000US06071,6071,"San Bernardino County, California",1,Total population,2112619,78.6,18.9
0500000US06073,6073,"San Diego County, California",1,Total population,3263431,86.6,37.1
0500000US06075,6075,"San Francisco County, California",1,Total population,852469,88.1,54.2
0500000US06077,6077,"San Joaquin County, California",1,Total population,715597,77.6,18.3
0500000US06081,6081,"San Mateo County, California",1,Total population,758581,88.1,47.5
0500000US06085,6085,"Santa Clara County, California",1,Total population,1894605,87.4,48.4
0500000US06097,6097,"Sonoma County, California",1,Total population,500292,87.6,34.8
0500000US06099,6099,"Stanislaus County, California",1,Total population,531997,78.4,17
0500000US06111,6111,"Ventura County, California",1,Total population,846178,83.6,31.6
0500000US08005,8005,"Arapahoe County, Colorado",1,Total population,618821,91.9,40.9
0500000US08031,8031,"Denver County, Colorado",1,Total population,663862,85.5,44.3
0500000US08041,8041,"El Paso County, Colorado",1,Total population,663519,92.8,36.5
0500000US08059,8059,"Jefferson County, Colorado",1,Total population,558503,94.1,42
0500000US09001,9001,"Fairfield County, Connecticut",1,Total population,945438,89.8,46.7
0500000US09003,9003,"Hartford County, Connecticut",1,Total population,897985,89.3,36.8
0500000US09009,9009,"New Haven County, Connecticut",1,Total population,861277,89.5,34.5
0500000US10003,10003,"New Castle County, Delaware",1,Total population,552778,90.1,35.8
0500000US11001,11001,"District of Columbia, District of Columbia",1,Total population,658893,90.2,55
0500000US12009,12009,"Brevard County, Florida",1,Total population,556885,91.6,27.2
0500000US12011,12011,"Broward County, Florida",1,Total population,1869235,88.4,30.5
0500000US12031,12031,"Duval County, Florida",1,Total population,897698,89,26.1
0500000US12057,12057,"Hillsborough County, Florida",1,Total population,1316298,87.3,29.8
0500000US12071,12071,"Lee County, Florida",1,Total population,679513,86.3,26.5
0500000US12086,12086,"Miami-Dade County, Florida",1,Total population,2662874,80.9,26.6
0500000US12095,12095,"Orange County, Florida",1,Total population,1253001,87.9,31.4
0500000US12099,12099,"Palm Beach County, Florida",1,Total population,1397710,87.7,33
0500000US12103,12103,"Pinellas County, Florida",1,Total population,938098,90.1,29.5
0500000US12105,12105,"Polk County, Florida",1,Total population,634638,84.9,19.7
0500000US12127,12127,"Volusia County, Florida",1,Total population,507531,88.9,22.5
0500000US13067,13067,"Cobb County, Georgia",1,Total population,730981,90.3,43.7
0500000US13089,13089,"DeKalb County, Georgia",1,Total population,722161,88.4,41.7
0500000US13121,13121,"Fulton County, Georgia",1,Total population,996319,91.3,49.2
0500000US13135,13135,"Gwinnett County, Georgia",1,Total population,877922,88,35.4
0500000US15003,15003,"Honolulu County, Hawaii",1,Total population,991788,91.8,32.6
0500000US17031,17031,"Cook County, Illinois",1,Total population,5246456,85.5,36.2
0500000US17043,17043,"DuPage County, Illinois",1,Total population,932708,92.3,48
0500000US17089,17089,"Kane County, Illinois",1,Total population,527306,82.9,32.6
