x,y
46,236
69,236
144,236
171,236
194,236
195,236
221,236
244,236
45,235
47,235
48,235
49,235
50,235
51,235
52,235
53,235
54,235
55,235
56,235
57,235
58,235
59,235
60,235
61,235
62,235
63,235
64,235
65,235
66,235
67,235
68,235
145,235
146,235
147,235
148,235
149,235
150,235
151,235
152,235
153,235
154,235
155,235
156,235
157,235
158,235
159,235
160,235
161,235
162,235
163,235
164,235
165,235
166,235
167,235
168,235
169,235
170,235
172,235
173,235
174,235
175,235
176,235
177,235
178,235
179,235
180,235
181,235
182,235
183,235
184,235
185,235
186,235
187,235
188,235
189,235
190,235
191,235
192,235
193,235
196,235
197,235
198,235
199,235
200,235
201,235
202,235
203,235
204,235
205,235
206,235
207,235
208,235
209,235
210,235
211,235
212,235
213,235
214,235
215,235
216,235
217,235
218,235
219,235
220,235
222,235
223,235
224,235
225,235
226,235
227,235
228,235
229,235
230,235
231,235
232,235
233,235
234,235
235,235
236,235
237,235
238,235
239,235
240,235
241,235
242,235
243,235
245,235
246,235
247,235
248,235
249,235
46,234
145,234
146,234
147,234
148,234
149,234
150,234
151,234
152,234
153,234
154,234
155,234
156,234
157,234
158,234
159,234
160,234
161,234
162,234
163,234
164,234
165,234
166,234
167,234
168,234
169,234
170,234
172,234
195,234
196,234
197,234
198,234
199,234
200,234
201,234
202,234
203,234
204,234
205,234
206,234
207,234
208,234
209,234
210,234
211,234
212,234
213,234
214,234
215,234
216,234
217,234
218,234
219,234
220,234
243,234
244,234
245,234
246,234
247,234
248,234
249,234
44,233
45,233
48,233
49,233
50,233
51,233
52,233
53,233
54,233
55,233
56,233
57,233
58,233
59,233
60,233
61,233
62,233
63,233
64,233
65,233
66,233
67,233
68,233
145,233
146,233
147,233
148,233
149,233
150,233
151,233
152,233
153,233
154,233
156,233
157,233
158,233
159,233
160,233
161,233
162,233
163,233
164,233
165,233
166,233
169,233
170,233
172,233
173,233
174,233
175,233
176,233
177,233
178,233
179,233
180,233
181,233
182,233
183,233
184,233
185,233
186,233
187,233
188,233
189,233
190,233
191,233
192,233
193,233
196,233
199,233
200,233
201,233
202,233
203,233
204,233
205,233
206,233
208,233
210,233
211,233
212,233
213,233
214,233
